"date","Y_log_return_1m","yhat_ar1","error"
2019-07-01,-0.0195628106076118,-0.000455399426410332,-0.0191074111812015
2019-08-01,0.0126461129683095,-0.00712135594033902,0.0197674689086485
2019-09-01,0.00553422086392086,0.00295492253279766,0.0025792983311232
2019-10-01,0.00664626974226845,0.000715743950079127,0.00593052579218932
2019-11-01,0.0022306967121386,0.00113281006558999,0.00109788664654861
2019-12-01,0.0015176240057766,-0.000191001444510205,0.0017086254502868
2020-01-01,0.00695682895064564,-0.000461448517110974,0.00741827746775661
2020-02-01,-0.0217025947660954,0.00123811567515328,-0.0229407104412487
2020-03-01,0.00066200603236854,-0.00782658711632077,0.00848859314868931
2020-04-01,-0.00501167428585436,-0.000870817328815819,-0.00414085695703854
2020-05-01,0.00352177633389505,-0.00265449188392896,0.00617626821782401
